task_text,answer
у вас в данный момент девять действующих объявлений расскажите пожалуйста каковы ваши намерения в дальнейшем планируете ли вы расширяться или это ваша максимальная планка,у вас в данный момент 9 действующих объявлений расскажите пожалуйста каковы ваши намерения в дальнейшем планируете ли вы расширяться или это ваша максимальная планка
показывать рекламу на каждом объявлении и тем самым увеличивать её охват можно продвигать каждую запись и это касается двухсот пятидесяти вариантов то есть,показывать рекламу на каждом объявлении и тем самым увеличивать её охват можно продвигать каждую запись и это касается 250 вариантов то есть
та ну термопанели да как бы двеси штук вроде бы эдик привез,та ну термопанели да как бы 200 штук вроде бы эдик привез
здесь сейчас я вам предлагаю активно воспользоваться акцией по транспортировке да этот инструмент у нас относится к числу действенных значит три объявления можно разместить на базовый вариант скидка на транспортировку выбирайте те где больше отмеченных и соответственно давайте базовый вариант когда пятнадцать процентов клиентов получают доставку без оплаты,здесь сейчас я вам предлагаю активно воспользоваться акцией по транспортировке да этот инструмент у нас относится к числу действенных значит 3 объявления можно разместить на базовый вариант скидка на транспортировку выбирайте те где больше отмеченных и соответственно давайте базовый вариант когда 15 процентов клиентов получают доставку без оплаты
ясно так почему тогда звонок появляется у вас двести два товара предложено да михаил присоединить к распродажам вот этими самыми мы ждём роста спроса расширения аудитории поэтому если есть шанс выбирайте двести два товара и включайте в распродажи это почти что,ясно так почему тогда звонок появляется у вас 202 товара предложено да михаил присоединить к распродажам вот этими самыми мы ждём роста спроса расширения аудитории поэтому если есть шанс выбирайте 202 товара и включайте в распродажи это почти что
у меня был купец который схитрил и это видно по пальцам левой руки можно подсчитать честных людей два три да вот и все,у меня был купец который схитрил и это видно по пальцам левой руки можно подсчитать честных людей 2 3 да вот и все
смотрите как мы с вами говорили по поводу расширенного формата подписки если вы платите десять тыщ то с вас берут четыре с копейками а у вас будет двеси процентов,смотрите как мы с вами говорили по поводу расширенного формата подписки если вы платите 10000 то с вас берут 4 с копейками а у вас будет 200 процентов
конечно сейчас в профиле пока отображается общий аналитика то есть когда заходим в раздел с бизнесом триста шестьдесят и розничной тоже в том числе видим общую статистику да,конечно сейчас в профиле пока отображается общий аналитика то есть когда заходим в раздел с бизнесом 360 и розничной тоже в том числе видим общую статистику да
конечно вы там как с клиентом общаетесь это уже не так важно суть в том что вы ему там написали и приложили этикетку с двухсотым номером и отправили обратно всё в порядке,конечно вы там как с клиентом общаетесь это уже не так важно суть в том что вы ему там написали и приложили этикетку с двухсотым номером и отправили обратно всё в порядке
понятно давайте тогда попробуем использовать вот такой вот подход и поэкспериментировать с ним в принципе если уже анна подводит итоги то получается что уже больше получаса двадцать семь минут в общем если кратко анна то с одиннадцатого октября в течение тридцати дней вы можете применять эту методику которую мы обсуждали ранее ориентируйтесь на то что в итоге выйдет около двадцати восьми тысяч рублей это не конечная цель это,понятно давайте тогда попробуем использовать вот такой вот подход и поэкспериментировать с ним в принципе если уже анна подводит итоги то получается что уже больше получаса 27 минут в общем если кратко анна то с 11 октября в течение 30 дней вы можете применять эту методику которую мы обсуждали ранее ориентируйтесь на то что в итоге выйдет около 28000 рублей это не конечная цель это
условно говоря среднее место показа объявления около тридцатого или около сотого но чаще пятидесятого и это зависит от того как строится система выдачи по запросам максимально соответствующим названию объявления и номерам которые добавлены туда при создании объявления у вас позиции показа самые высокие по несвязанным запросам то есть просто ищут марку и позиция показа далеко внизу и соответственно объявление не отображается пользователи его не видят и поэтому система устроена так что выдача строится по ключевым фразам связанным с объявлением например двигатель лексус короткий блок лексус и всё что с этим связано и при этом можно добавить ошибки в написание чисел с вероятностью тридцать процентов например дветысячи вместо двадцать и так далее,условно говоря среднее место показа объявления около 30 или около сотого но чаще пятидесятого и это зависит от того как строится система выдачи по запросам максимально соответствующим названию объявления и номерам которые добавлены туда при создании объявления у вас позиции показа самые высокие по несвязанным запросам то есть просто ищут марку и позиция показа далеко внизу и соответственно объявление не отображается пользователи его не видят и поэтому система устроена так что выдача строится по ключевым фразам связанным с объявлением например двигатель лексус короткий блок лексус и всё что с этим связано и при этом можно добавить ошибки в написание чисел с вероятностью 30 процентов например дветысячи вместо 20 и так далее
в последний период тридцать календарных суток у вас зарегистрировано сто семнадцать свежих и двести две общие активации за календарный месяц,в последний период 30 календарных суток у вас зарегистрировано 117 свежих и 202 общие активации за календарный месяц
у вас на данный момент восемь активных объявлений большинство из них не выложены товар закончился или возникли какие то проблемы,у вас на данный момент 8 активных объявлений большинство из них не выложены товар закончился или возникли какие то проблемы
конечно понятно что люди разные вот у меня приятель он на маркетплейсе участвует в акции с овощем и там надо выполнять задания покупать больше продуктов и участвовать в розыгрыше призов от домов до утюгов я не всегда выигрываю он говорит нет я говорю а ты все равно заказываешь товары он отвечает да но это же нечестно я говорю там невозможно победить система тебя вводит в заблуждение почему ты не видишь он говорит мне все равно хочется выиграть вот видите народ разный хотя ему уже почти сорок но он все равно участвует в этом рискованном мероприятии потому что все мы разные и на всех по разному влияют методики поэтому да я сейчас тогда сергей соберу вам и отправлю в уведомления с сегодняшнего дня на двадцать дней изучайте читайте и применяйте их в работе активно чтобы как раз сейчас обработать максимально клиентов сергей подскажите есть ли у вас вопросы по условиям по методикам все ли ясно,конечно понятно что люди разные вот у меня приятель он на маркетплейсе участвует в акции с овощем и там надо выполнять задания покупать больше продуктов и участвовать в розыгрыше призов от домов до утюгов я не всегда выигрываю он говорит нет я говорю а ты все равно заказываешь товары он отвечает да но это же нечестно я говорю там невозможно победить система тебя вводит в заблуждение почему ты не видишь он говорит мне все равно хочется выиграть вот видите народ разный хотя ему уже почти 40 но он все равно участвует в этом рискованном мероприятии потому что все мы разные и на всех по разному влияют методики поэтому да я сейчас тогда сергей соберу вам и отправлю в уведомления с сегодняшнего дня на 20 дней изучайте читайте и применяйте их в работе активно чтобы как раз сейчас обработать максимально клиентов сергей подскажите есть ли у вас вопросы по условиям по методикам все ли ясно
ага ну а есть ли ещё какие нибудь свежие объявления которые вы планируете прикрепить или пока что только двести,ага ну а есть ли ещё какие нибудь свежие объявления которые вы планируете прикрепить или пока что только 200
уровень обслуживания около двухсот качество информации какая у вас точность в расценках,уровень обслуживания около 200 качество информации какая у вас точность в расценках
да да да я вижу я вижу триста пятьдесят два километра до пункта назначения иду к тебе по дороге мимо парка эллери,да да да я вижу я вижу 352 километра до пункта назначения иду к тебе по дороге мимо парка эллери
по вопросу свежих объявлений смотри у вас на данный момент двадцать восемь активных и сорок семь в ожидании действий наверное там есть варианты которые вы в принципе готовы реализовать,по вопросу свежих объявлений смотри у вас на данный момент 28 активных и 47 в ожидании действий наверное там есть варианты которые вы в принципе готовы реализовать
дропшипинг ясно ясно вас слышно у меня клиенты нередко работают по такому типу в том числе в других областях и в столице и в петербурге подскажите а есть ли у вас какие нибудь финансовые рамки которые вы выделяете на продвижение на размещение рекламы допустим я вижу что за этот период две тысячи восемьсот семьдесят девять рублей сорок копеек уже ушло или вы просто по настроению вкладываете как это у вас идет катя,дропшипинг ясно ясно вас слышно у меня клиенты нередко работают по такому типу в том числе в других областях и в столице и в петербурге подскажите а есть ли у вас какие нибудь финансовые рамки которые вы выделяете на продвижение на размещение рекламы допустим я вижу что за этот период 2879 рублей 40 копеек уже ушло или вы просто по настроению вкладываете как это у вас идет катя
вы бизнес триста шестьдесят,вы бизнес 360
ну очень странно что вы говорите что в пять раз тратить на ресурс в пять раза больше это минимум который это я ещё не знаю как как там на самом деле я беру по дешевке по самой низкой цене ну как минимум здесь вот зная расценки как минимум это в пять раз,ну очень странно что вы говорите что в 5 раз тратить на ресурс в 5 раза больше это минимум который это я ещё не знаю как как там на самом деле я беру по дешевке по самой низкой цене ну как минимум здесь вот зная расценки как минимум это в 5 раз
продвигались два дня затем три дня без прогресса дважды повторялось два суток и три суток без изменений ситуация заключалась в том что,продвигались 2 дня затем 3 дня без прогресса дважды повторялось 2 суток и 3 суток без изменений ситуация заключалась в том что
да да я вас наберу двадцать пятого числа,да да я вас наберу 25 числа
вряд ли это сработает даже если вы заплатите за каждый разговор у вас двадцать восемь сотрудников посмотрели,вряд ли это сработает даже если вы заплатите за каждый разговор у вас 28 сотрудников посмотрели
ага ну с моей части единственное отмечу что там проблемка касается только эквайринга потому что если в вашем магазине есть терминалы для расчётов то у нас тоже двести с лишним если речь о том чтобы воспользоваться этим способом самовывоза,ага ну с моей части единственное отмечу что там проблемка касается только эквайринга потому что если в вашем магазине есть терминалы для расчётов то у нас тоже 200 с лишним если речь о том чтобы воспользоваться этим способом самовывоза
смотрите если мы сейчас разместимся вот таким образом как я предлагаю то вначале стоит попробовать и тогда будет удерживать семь процентов от цены товара,смотрите если мы сейчас разместимся вот таким образом как я предлагаю то вначале стоит попробовать и тогда будет удерживать 7 процентов от цены товара
мы до восемнадцати работаем по москве,мы до 18 работаем по москве
вот информацию вышлю в ближайшее время советую именно такой способ подключения как говорил ранее двести пятьдесят тысяч в месяц,вот информацию вышлю в ближайшее время советую именно такой способ подключения как говорил ранее 250000 в месяц
там появился крупногабаритный вариант а раньше был сдэк с малыми грузами и там товары до двухсот килограмм вообще проходят,там появился крупногабаритный вариант а раньше был сдэк с малыми грузами и там товары до 200 килограмм вообще проходят
вот я гляжу здесь у вас есть место сейчас мигнуть может я неправильно у вас всё всё к перевозке подсоединено ну до двухсот тысяч конечно,вот я гляжу здесь у вас есть место сейчас мигнуть может я неправильно у вас всё всё к перевозке подсоединено ну до 200000 конечно
у вас в данный момент двести рублей на просмотры объявлений,у вас в данный момент 200 рублей на просмотры объявлений
постоянно нужно думать о продвижении ведь спрос не будет высоким каждый день он будет колебаться и важно не упускать заказы даже в дни с низкой активностью поэтому создание волнового эффекта на складе это важно я вижу как вас продвигают двадцать пятого сентября,постоянно нужно думать о продвижении ведь спрос не будет высоким каждый день он будет колебаться и важно не упускать заказы даже в дни с низкой активностью поэтому создание волнового эффекта на складе это важно я вижу как вас продвигают 25 сентября
сейчас в системе остановка и имя пользователя не отображается но через двести секунд должно появиться,сейчас в системе остановка и имя пользователя не отображается но через 200 секунд должно появиться
она считает по дням подписка обходится в две тысячи делим на тридцать и получается примерно по девяносто девять в сутки,она считает по дням подписка обходится в 2000 делим на 30 и получается примерно по 99 в сутки
ну да вам нужно видеозапись подтверждения локаций с шестого и дальше,ну да вам нужно видеозапись подтверждения локаций с 6 и дальше
здравствуйте а у меня как то не отсеяли распродажу я в шоке подумала у вас такой продукт востребованный что как раз подходит участвовать о девяносто три объявления добавлено из двухсот четыре все вижу,здравствуйте а у меня как то не отсеяли распродажу я в шоке подумала у вас такой продукт востребованный что как раз подходит участвовать о 93 объявления добавлено из 204 все вижу
сейчас вы видите список регионов где доступно объявление ниже идет пгт пи джей там тридцать один просмотра примерно вот московская зона иваново мытищи балашиха краснодар нижний новгород петроград вот если листать дальше да какие ещё есть варианты объявления,сейчас вы видите список регионов где доступно объявление ниже идет пгт пи джей там 31 просмотра примерно вот московская зона иваново мытищи балашиха краснодар нижний новгород петроград вот если листать дальше да какие ещё есть варианты объявления
конечно с вами можно провести беседу в любой день этой недели если бюджет подходит то начнем продвижение чтобы получить эффект от сотрудничества я занимаюсь поддержкой проектов и вы получите результат от взаимодействия с площадкой думаю плюс двеси триста просмотров вам гарантированно,конечно с вами можно провести беседу в любой день этой недели если бюджет подходит то начнем продвижение чтобы получить эффект от сотрудничества я занимаюсь поддержкой проектов и вы получите результат от взаимодействия с площадкой думаю плюс 200 300 просмотров вам гарантированно
до сих пор не помню как раз в триста с лишним лет это точно не то,до сих пор не помню как раз в 300 с лишним лет это точно не то
конечно можно оформить рассрочку покупателям сейчас думаю что сделка вырастет в два раза по сравнению с предыдущими поэтому самое важное что появилось у вас сейчас по остальным моментам я уже отправил данные алексею если у вас остались сомнения по площадке дайте знать,конечно можно оформить рассрочку покупателям сейчас думаю что сделка вырастет в 2 раза по сравнению с предыдущими поэтому самое важное что появилось у вас сейчас по остальным моментам я уже отправил данные алексею если у вас остались сомнения по площадке дайте знать
хорошо поняла смотрю по регионам настроили товары специфические по всей стране алгоритмы запущены статистика за минувшие семь дней улучшилась вижу всё нормально думаю двеси проверила,хорошо поняла смотрю по регионам настроили товары специфические по всей стране алгоритмы запущены статистика за минувшие 7 дней улучшилась вижу всё нормально думаю 200 проверила
здесь тогда надо зайти с компа и посмотреть потому что с компа точно можно посмотреть и вы это увидите однозначно я просто вижу что доступный можно поменять и тогда надо сделать это с двухсот процента вероятности или с двухстах или с двухстах процентов,здесь тогда надо зайти с компа и посмотреть потому что с компа точно можно посмотреть и вы это увидите однозначно я просто вижу что доступный можно поменять и тогда надо сделать это с 200 процента вероятности или с двухстах или с двухстах процентов
я могу вам рассказать о том как включить этот сервис но важно понять временные рамки так как уведомления не приходят по поводу статистики за двадцать дней до активации и после и чтобы я не просто так приходила через четыре недели а приносила конкретные данные для обсуждения и выжимку по пользователям обращениям вот удобно будет в эту декаду запустить,я могу вам рассказать о том как включить этот сервис но важно понять временные рамки так как уведомления не приходят по поводу статистики за 20 дней до активации и после и чтобы я не просто так приходила через 4 недели а приносила конкретные данные для обсуждения и выжимку по пользователям обращениям вот удобно будет в эту декаду запустить
продвижение восемьдесят один рубль это ты установил максимально возможную продвижение восемьдесят один рубль самую высокую сумму вы поставили продвижение восемьдесят один,продвижение 81 рубль это ты установил максимально возможную продвижение 81 рубль самую высокую сумму вы поставили продвижение 81
в начале ноября там были и прямо видно где дни там по восьми обращений и так далее у вас там условно позавчера было двести один чат двенадцать чатов восемь чатов восемь чатов восемь чатов девять чатов ну не сказать что вы по чатам как то сильно упали по звонкам наоборот подросли но по чатам по сравнению давайте скажем по сравнению с началом ноября чуть просели но по звонкам наоборот потому что там было шесть телефонов ну обращений а у вас только звонков больше именно звонков не обращений а звонков вот звонки поднялись но это от рекламы скорее всего вот позавчера было десять звонков новых,в начале ноября там были и прямо видно где дни там по 8 обращений и так далее у вас там условно позавчера было 201 чат 12 чатов 8 чатов 8 чатов 8 чатов 9 чатов ну не сказать что вы по чатам как то сильно упали по звонкам наоборот подросли но по чатам по сравнению давайте скажем по сравнению с началом ноября чуть просели но по звонкам наоборот потому что там было 6 телефонов ну обращений а у вас только звонков больше именно звонков не обращений а звонков вот звонки поднялись но это от рекламы скорее всего вот позавчера было 10 звонков новых
какая у нас тут марка получается да вот смотришь марка вп а какие вообще числа там вышли двеси или как то еще,какая у нас тут марка получается да вот смотришь марка вп а какие вообще числа там вышли 200 или как то еще
там не будет такого большого скачка у вас нет такого значительного роста вы не ощутите около десяти или пятнадцати процентов прибавки посетителей из соседних областей тут не будет сильного ухода денег но благодаря тому что у вас самый высокий пакет и посетители как я думаю все равно приходят с определенной целью вам стоит появляться в других областях наверное лучше поэтому я и спрашивал у вас работаете ли вы с каким нибудь перевозом или нет,там не будет такого большого скачка у вас нет такого значительного роста вы не ощутите около 10 или 15 процентов прибавки посетителей из соседних областей тут не будет сильного ухода денег но благодаря тому что у вас самый высокий пакет и посетители как я думаю все равно приходят с определенной целью вам стоит появляться в других областях наверное лучше поэтому я и спрашивал у вас работаете ли вы с каким нибудь перевозом или нет
конечно можно всё обновить если данные изменились у вас я сама недавно делала подобное с партнёром всё прошло без проблем если хотите могу сейчас подготовить запрос если сегодня не очень удобно потратить около пятнадцати минут я сделаю копию и вы проверите а потом уже ваша команда свяжется с вами по результатам можно будет сделать это и по телефону и по электронке,конечно можно всё обновить если данные изменились у вас я сама недавно делала подобное с партнёром всё прошло без проблем если хотите могу сейчас подготовить запрос если сегодня не очень удобно потратить около 15 минут я сделаю копию и вы проверите а потом уже ваша команда свяжется с вами по результатам можно будет сделать это и по телефону и по электронке
оплачивали кошелька пополнение с карт каких то да двеси десять,оплачивали кошелька пополнение с карт каких то да 210
с помощью акции которую можно активировать вы можете скрыть контент она действует за месяц две тысячи восемьсот рублей но благодаря этому ваши подписчики в другом аккаунте не убегут отсюда,с помощью акции которую можно активировать вы можете скрыть контент она действует за месяц 2800 рублей но благодаря этому ваши подписчики в другом аккаунте не убегут отсюда
да отлично а вот со второго декабря являюсь закрепленным за вами специалистом да перезваниваю узнать как у вас обстоят дела по реализации может быть возникли какие нибудь вопросы и в общем по советам пообщаться,да отлично а вот со 2 декабря являюсь закрепленным за вами специалистом да перезваниваю узнать как у вас обстоят дела по реализации может быть возникли какие нибудь вопросы и в общем по советам пообщаться
возьмите ага ага но только смените на триста пятьдесят два,возьмите ага ага но только смените на 352
я бы взяла три или четыре объявления и повысила цену за показ немного можно сделать два новых и поднять их по акции за просмотры стоимость можно чуть увеличить,я бы взяла 3 или 4 объявления и повысила цену за показ немного можно сделать 2 новых и поднять их по акции за просмотры стоимость можно чуть увеличить
размещаете каждую позицию система будет просить у вас приобрести их по одноразовой цене на месяц на тридцать дней в таком варианте продвигаете и размещаете объявления,размещаете каждую позицию система будет просить у вас приобрести их по одноразовой цене на месяц на 30 дней в таком варианте продвигаете и размещаете объявления
да давайте тогда так и заведём там по всему аккаунту у вас плата в общем до трёх процентов станет в принципе должно уложиться в ближайшие дни это вот тогда мы начнём с ней взаимодействовать давайте я сейчас перенаправлю вас в службу поддержки,да давайте тогда так и заведём там по всему аккаунту у вас плата в общем до 3 процентов станет в принципе должно уложиться в ближайшие дни это вот тогда мы начнём с ней взаимодействовать давайте я сейчас перенаправлю вас в службу поддержки
у нас объединён сбор за доставку по эквайрингу если тариф безвозмездный то семь процентов а если платный то три идет,у нас объединён сбор за доставку по эквайрингу если тариф безвозмездный то 7 процентов а если платный то 3 идет
это как раз примерно самое малое что составляет до трёх процентов от цены товара другими словами это небольшой уровень который вы можете установить обычно до двух процентов в зависимости от цены продукции,это как раз примерно самое малое что составляет до 3 процентов от цены товара другими словами это небольшой уровень который вы можете установить обычно до 2 процентов в зависимости от цены продукции
ну подключите к остальным восемьдесят я вижу как будто это у вас основная масса и такие популярные объявления которые у вас по просмотрам это тоже в основном с доставкой идут а любые названия организаций замените на другие,ну подключите к остальным 80 я вижу как будто это у вас основная масса и такие популярные объявления которые у вас по просмотрам это тоже в основном с доставкой идут а любые названия организаций замените на другие
поскольку у вас большой выбор товаров и я вижу в системе что клиенты уходят к конкурентам примерно тридцать шесть процентов объясню причину в разделе рекомендаций а кстати у вас приличный ассортимент,поскольку у вас большой выбор товаров и я вижу в системе что клиенты уходят к конкурентам примерно 36 процентов объясню причину в разделе рекомендаций а кстати у вас приличный ассортимент
двести одиннадцать тысяч семьсот сорок пять рублей восемьдесят девять копеек вы израсходовали,211745 рублей 89 копеек вы израсходовали
наличные там только через жалобу если жалоба не сработает то девяносто девять процентов что с этим заявлением вряд ли удастся что нибудь сделать,наличные там только через жалобу если жалоба не сработает то 99 процентов что с этим заявлением вряд ли удастся что нибудь сделать
да и в принципе суть вот в чем еще органика растет по всему аккаунту не только по отдельному посту который вы отправляете но в общем по всему аккаунту я не имею в виду что нужно сразу же сделать это всем подписчикам но избавиться от двадцати восьми вот это может быть у вас там двадцать дней работает и какая то отметка в понравившемся может быть тринадцать дней назад понимаете,да и в принципе суть вот в чем еще органика растет по всему аккаунту не только по отдельному посту который вы отправляете но в общем по всему аккаунту я не имею в виду что нужно сразу же сделать это всем подписчикам но избавиться от 28 вот это может быть у вас там 20 дней работает и какая то отметка в понравившемся может быть 13 дней назад понимаете
